         10620 function calls (9872 primitive calls) in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:114(__and__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_r_long)
        3    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:217(release)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology_description.py:142(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:129(_new_module)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\read_preferences.py:124(__ne__)
        5    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {built-in method any}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:599(_check)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:1436(_cursor_args)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\cursor.py:502(__getitem__)
       20    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\fields.py:688(<lambda>)
       13    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\collection.py:263(database)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:96(_combine)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology.py:132(<listcomp>)
        6    0.000    0.000    0.000    0.000 C:\Python34\lib\copy.py:125(_copy_with_constructor)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\py3compat.py:47(itervalues)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\message.py:221(__init__)
       11    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:126(__iter__)
        8    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\transform.py:40(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:354(__hash__)
       36    0.000    0.000    0.000    0.000 C:\Python34\lib\copy.py:110(_copy_immutable)
       10    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       10    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\read_preferences.py:161(__eq__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\cursor.py:289(__query_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
        3    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:435(SpecificStrictDict)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
        4    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\server_description.py:151(is_server_type_known)
       10    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\helpers.py:139(_check_command_response)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\_weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\response.py:22(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:138(append)
        4    0.000    0.000    0.000    0.000 {built-in method unpack}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\common.py:527(codec_options)
        4    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Python34\lib\_collections_abc.py:170(<genexpr>)
        4    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:151(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\dereference.py:13(DeReference)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\message.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\threading.py:249(_is_owned)
        3    0.000    0.000    0.000    0.000 {method 'unpack' of 'Struct' objects}
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\server_description.py:66(address)
        2    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\common.py:553(read_concern)
        3    0.000    0.000    0.000    0.000 {built-in method getlower}
        3    0.000    0.000    0.000    0.000 {built-in method getpid}
        2    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_compile.py:442(isstring)
        4    0.000    0.000    0.000    0.000 {built-in method issubclass}
        3    0.000    0.000    0.000    0.000 {built-in method monotonic}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:726(fix_flags)
        5    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\queryset.py:25(__iter__)
        1    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:157(empty)
        3    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\common.py:119(validate_boolean)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:30(_relax_case)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\connection.py:160(get_db)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\transform.py:41(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:287(check_auth)
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\server.py:168(_split_message)
        2    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
